task_id,variant,correctness,latency_ms,tokens,confidence,grounding,fallback,result_preview,python,ts,platform
eoq_basic,slm_only,0.999,3867.6,0,0.72,0.0,False,"{'text': '775', 'confidence': 0.72, 'source': 'mesh_slm', 'model': 'mesh-slm/torus-quipu-7d', 'mesh_field_8d': 0.9892, '",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
eoq_basic,expert_swarm,0.0,5016.5,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:39:28.324849+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
multi_echelon_safety,slm_only,0.02,3313.8,0,0.72,0.0,False,"{'text': '11', 'confidence': 0.72, 'source': 'mesh_slm', 'model': 'mesh-slm/torus-quipu-7d', 'mesh_field_8d': 0.9892, 's",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
multi_echelon_safety,expert_swarm,0.0,4908.8,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:39:36.547645+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
part_classify,slm_only,1.0,3285.9,0,0.588,0.0,False,"{'label': 'carbide insert', 'confidence': 0.5880796793487975, 'source': 'mesh_slm', 'specialist': None}",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
part_classify,expert_swarm,0.0,4762.6,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:39:44.596432+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
ml_research_cite,slm_only,0.0,3346.9,0,0.593,0.0,False,{'text': 'lose ground cold found natural measure assumption lean consider three numerical methods improve benchmark reli,3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
ml_research_cite,expert_swarm,0.0,4330.4,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:39:52.274135+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
tool_eoq_code,slm_only,0.943,3455.1,0,0.72,0.0,False,"{'text': '730', 'confidence': 0.72, 'source': 'mesh_slm', 'model': 'mesh-slm/torus-quipu-7d', 'mesh_field_8d': 0.9892, '",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
tool_eoq_code,expert_swarm,0.0,5044.1,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:40:00.773499+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
bullwhip_explain,slm_only,0.2,3317.5,0,0.564,0.0,False,{'text': 'modern applications construction random inputs running frame nothing presents novel framework enable parallel ,3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
bullwhip_explain,expert_swarm,0.2,5179.6,0,0.85,0.3,False,"{'status': 'ok', 'at': '2026-09-23T13:40:09.270694+00:00', 'specialist': 'research_specialist', 'consensus': [('research",3.13,2026-09-23T13:39:19+00:00,Windows-11-10.0.22631-SP0
